2024-12-20 18:12:57,425 - [Process 0/1] - INFO - loading datasets finished
2024-12-20 18:12:57,425 - [Process 0/1] - INFO - model_max_len: 3950
2024-12-20 18:12:57,425 - [Process 0/1] - INFO - output_max_len: 64
2024-12-20 18:12:57,442 - [Process 0/1] - INFO - Max Length is 10337
2024-12-20 18:12:57,442 - [Process 0/1] - INFO - Finish loading dataset
2024-12-20 18:12:57,442 - [Process 0/1] - INFO - get_predicted begin
2024-12-20 18:12:57,494 - [Process 0/1] - INFO - len(per_windows_prompt):2
2024-12-20 18:12:59,704 - [Process 0/1] - INFO - tokenized_inputs_attention_mask.shape is :torch.Size([1, 2])
2024-12-20 18:12:59,704 - [Process 0/1] - INFO - cache['past_attention_mask'].shape is :torch.Size([1, 1888])
2024-12-20 18:12:59,706 - [Process 0/1] - INFO - position_ids shape1:torch.Size([1, 1890])
2024-12-20 18:12:59,754 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 1891])
2024-12-20 18:12:59,799 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 1892])
2024-12-20 18:12:59,834 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 1893])
2024-12-20 18:12:59,868 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 1894])
2024-12-20 18:12:59,903 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 1895])
2024-12-20 18:12:59,938 - [Process 0/1] - INFO - res.shape is :torch.Size([8])
2024-12-20 18:13:00,079 - [Process 0/1] - INFO - len(per_windows_prompt):2
2024-12-20 18:13:03,697 - [Process 0/1] - INFO - tokenized_inputs_attention_mask.shape is :torch.Size([1, 2])
2024-12-20 18:13:03,697 - [Process 0/1] - INFO - cache['past_attention_mask'].shape is :torch.Size([1, 3950])
2024-12-20 18:13:03,698 - [Process 0/1] - INFO - position_ids shape1:torch.Size([1, 3952])
2024-12-20 18:13:03,754 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3953])
2024-12-20 18:13:03,800 - [Process 0/1] - INFO - res.shape is :torch.Size([4])
2024-12-20 18:13:03,927 - [Process 0/1] - INFO - len(per_windows_prompt):2
2024-12-20 18:13:07,467 - [Process 0/1] - INFO - tokenized_inputs_attention_mask.shape is :torch.Size([1, 2])
2024-12-20 18:13:07,467 - [Process 0/1] - INFO - cache['past_attention_mask'].shape is :torch.Size([1, 3950])
2024-12-20 18:13:07,469 - [Process 0/1] - INFO - position_ids shape1:torch.Size([1, 3952])
2024-12-20 18:13:07,522 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3953])
2024-12-20 18:13:07,562 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3954])
2024-12-20 18:13:07,602 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3955])
2024-12-20 18:13:07,642 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3956])
2024-12-20 18:13:07,682 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3957])
2024-12-20 18:13:07,722 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3958])
2024-12-20 18:13:07,762 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3959])
2024-12-20 18:13:07,803 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3960])
2024-12-20 18:13:07,843 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3961])
2024-12-20 18:13:07,883 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3962])
2024-12-20 18:13:07,923 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3963])
2024-12-20 18:13:07,963 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3964])
2024-12-20 18:13:08,003 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3965])
2024-12-20 18:13:08,043 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3966])
2024-12-20 18:13:08,083 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3967])
2024-12-20 18:13:08,124 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3968])
2024-12-20 18:13:08,164 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3969])
2024-12-20 18:13:08,205 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3970])
2024-12-20 18:13:08,251 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3971])
2024-12-20 18:13:08,292 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3972])
2024-12-20 18:13:08,332 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3973])
2024-12-20 18:13:08,372 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3974])
2024-12-20 18:13:08,412 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3975])
2024-12-20 18:13:08,452 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3976])
2024-12-20 18:13:08,492 - [Process 0/1] - INFO - res.shape is :torch.Size([27])
2024-12-20 18:13:08,644 - [Process 0/1] - INFO - len(per_windows_prompt):2
2024-12-20 18:13:12,194 - [Process 0/1] - INFO - tokenized_inputs_attention_mask.shape is :torch.Size([1, 2])
2024-12-20 18:13:12,195 - [Process 0/1] - INFO - cache['past_attention_mask'].shape is :torch.Size([1, 3953])
2024-12-20 18:13:12,196 - [Process 0/1] - INFO - position_ids shape1:torch.Size([1, 3955])
2024-12-20 18:13:12,248 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3956])
2024-12-20 18:13:12,288 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3957])
2024-12-20 18:13:12,328 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3958])
